::1 - - [21/Dec/2023:11:44:38 +0000] "POST /api/payment/verify-payment HTTP/1.1" 400 39 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:11:45:37 +0000] "POST /api/payment/verify-payment HTTP/1.1" 400 39 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:11:46:03 +0000] "POST /api/payment/verify-payment HTTP/1.1" 400 39 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:11:46:27 +0000] "POST /api/payment/verify-payment HTTP/1.1" 400 30 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:11:46:38 +0000] "POST /api/payment/verify-payment HTTP/1.1" 400 39 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:11:49:14 +0000] "POST /api/payment/verify-payment HTTP/1.1" 400 39 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:11:51:08 +0000] "POST /api/payment/verify-payment HTTP/1.1" 400 39 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:11:53:32 +0000] "POST /api/payment/verify-payment HTTP/1.1" 400 39 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:11:55:07 +0000] "POST /api/payment/verify-payment HTTP/1.1" 400 39 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:11:57:01 +0000] "POST /api/payment/verify-payment HTTP/1.1" 400 39 "-" "PostmanRuntime/7.36.0"
::1 - - [28/Dec/2023:08:13:57 +0000] "POST /api/department/adddepartmentaccount HTTP/1.1" 404 175 "-" "PostmanRuntime/7.36.0"
::1 - - [28/Dec/2023:08:14:22 +0000] "POST /api/department/adddepartmentaccount HTTP/1.1" 404 175 "-" "PostmanRuntime/7.36.0"
::1 - - [28/Dec/2023:08:14:48 +0000] "POST /api/department/adddepartmentaccount HTTP/1.1" 201 366 "-" "PostmanRuntime/7.36.0"
::1 - - [28/Dec/2023:09:11:04 +0000] "POST /api/department/deparmentsignin HTTP/1.1" 404 170 "-" "PostmanRuntime/7.36.0"
::1 - - [28/Dec/2023:09:11:26 +0000] "POST /api/auth-department/deparmentsignin HTTP/1.1" 200 313 "-" "PostmanRuntime/7.36.0"
::1 - - [29/Dec/2023:10:12:29 +0000] "POST /api/department//adddepartmentaccount HTTP/1.1" 500 33 "-" "PostmanRuntime/7.36.0"
::1 - - [29/Dec/2023:10:13:31 +0000] "POST /api/department//adddepartmentaccount HTTP/1.1" 400 35 "-" "PostmanRuntime/7.36.0"
::1 - - [29/Dec/2023:10:13:55 +0000] "POST /api/department//adddepartmentaccount HTTP/1.1" 201 585 "-" "PostmanRuntime/7.36.0"
::1 - - [29/Dec/2023:10:15:25 +0000] "POST /api/department//adddepartmentaccount/658e9be3575504adf27b27e7 HTTP/1.1" 200 179 "-" "PostmanRuntime/7.36.0"
::1 - - [29/Dec/2023:10:20:58 +0000] "POST /api/department//adddepartmentaccount HTTP/1.1" 500 33 "-" "PostmanRuntime/7.36.0"
::1 - - [29/Dec/2023:10:24:19 +0000] "POST /api/department//adddepartmentaccount HTTP/1.1" 500 33 "-" "PostmanRuntime/7.36.0"
::1 - - [29/Dec/2023:10:25:46 +0000] "POST /api/department//adddepartmentaccount HTTP/1.1" 500 33 "-" "PostmanRuntime/7.36.0"
::1 - - [29/Dec/2023:10:26:09 +0000] "POST /api/department//adddepartmentaccount HTTP/1.1" 500 33 "-" "PostmanRuntime/7.36.0"
::1 - - [29/Dec/2023:10:27:01 +0000] "POST /api/department//adddepartmentaccount HTTP/1.1" 201 585 "-" "PostmanRuntime/7.36.0"
::1 - - [29/Dec/2023:10:28:52 +0000] "POST /api/department//adddepartmentaccount HTTP/1.1" 201 619 "-" "PostmanRuntime/7.36.0"
::1 - - [29/Dec/2023:10:31:09 +0000] "POST /api/department//adddepartmentaccount HTTP/1.1" 500 33 "-" "PostmanRuntime/7.36.0"
